Name,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Eric Bledsoe,PG-SG,81,81,2800,468,1046,0.447,88,272,0.324,380,774,0.491,0.489,353,441,0.8,72,351,423,493,127,45,274,189,1377
Goran Dragic,PG-SG,78,78,2640,502,1002,0.501,90,259,0.347,412,743,0.555,0.546,181,234,0.774,81,193,274,350,78,15,173,195,1275
Victor Oladipo,PG-SG,72,71,2573,473,1086,0.436,84,248,0.339,389,838,0.464,0.474,262,320,0.819,51,251,302,295,120,19,204,187,1292
Avery Bradley,PG-SG,77,77,2428,434,1012,0.429,124,352,0.352,310,660,0.47,0.49,79,100,0.79,46,195,241,135,82,15,109,177,1071
Reggie Jackson,PG-SG,77,40,2268,432,996,0.434,72,241,0.299,360,755,0.477,0.47,181,218,0.83,56,271,327,462,62,9,186,167,1117
Tony Wroten,PG-SG,72,16,1765,345,808,0.427,40,188,0.213,305,620,0.492,0.452,209,326,0.641,69,159,228,217,78,16,204,151,939
Mario Chalmers,PG-SG,80,37,2368,267,663,0.403,73,248,0.294,194,415,0.467,0.458,206,266,0.774,24,182,206,307,122,10,173,251,813
Greivis Vasquez,PG-SG,82,29,1991,296,725,0.408,133,351,0.379,163,374,0.436,0.5,50,66,0.758,22,194,216,302,46,10,119,177,775
Jerryd Bayless,PG-SG,77,4,1717,220,516,0.426,37,120,0.308,183,396,0.462,0.462,121,137,0.883,22,189,211,233,59,12,133,163,598
Jordan Clarkson,PG-SG,79,79,2552,475,1098,0.433,111,320,0.347,364,778,0.468,0.483,164,204,0.804,93,220,313,192,88,7,135,168,1225
LeBron James,SG-SF,69,69,2493,624,1279,0.488,120,339,0.354,504,940,0.536,0.535,375,528,0.71,51,365,416,511,109,49,272,135,1743
Manu Ginobili,SG-SF,80,79,2426,441,1018,0.433,154,441,0.349,287,577,0.497,0.509,357,410,0.871,42,253,295,393,123,28,174,163,1393
Demar DeRozan,SG-SF,82,82,3013,548,1231,0.445,34,120,0.283,514,1111,0.463,0.459,355,427,0.831,48,272,320,204,76,24,151,173,1485
Kobe Bryant,SG-SF,78,78,3013,738,1595,0.463,132,407,0.324,606,1188,0.51,0.504,525,626,0.839,66,367,433,469,106,25,287,173,2133
Dwyane Wade,SG-SF,69,69,2391,569,1093,0.521,17,66,0.258,552,1027,0.537,0.528,308,425,0.725,86,258,344,352,128,56,194,140,1463
Rudy Carlton Gay,SG-SF,73,73,2531,537,1179,0.455,65,197,0.33,472,982,0.481,0.483,318,387,0.822,113,324,437,209,95,56,224,171,1457
Kawhi Leonard,SG-SF,64,64,2033,394,822,0.479,67,192,0.349,327,630,0.519,0.52,202,252,0.802,85,376,461,161,148,48,97,128,1057
Paul George,SG-SF,80,80,2898,577,1362,0.424,182,500,0.364,395,862,0.458,0.49,401,464,0.864,64,478,542,283,151,22,224,198,1737
Kevin Durant,SG-SF,81,81,3122,849,1688,0.503,192,491,0.391,657,1197,0.549,0.56,703,805,0.873,58,540,598,445,103,59,285,174,2593
Paul Pierce,SG-SF,77,77,2575,476,1092,0.436,145,382,0.38,331,710,0.466,0.502,333,423,0.787,45,442,487,370,84,30,214,210,1430
Draymond Green,PG-SF,79,79,2490,339,765,0.443,111,329,0.337,228,436,0.523,0.516,132,200,0.66,114,533,647,291,123,99,133,253,921
LeBron James,PG-SF,77,77,2902,767,1353,0.567,116,306,0.379,651,1047,0.622,0.61,439,585,0.75,81,452,533,488,121,26,270,126,2089
Boris Diaw,PG-SF,81,15,1984,291,632,0.46,54,169,0.32,237,463,0.512,0.503,72,93,0.774,78,270,348,233,36,23,126,148,708
Andre Iguodala,PG-SF,77,0,2069,231,496,0.466,74,212,0.349,157,284,0.553,0.54,68,114,0.596,44,213,257,228,89,25,88,100,604
Nicolas Batum,PG-SF,82,82,2956,381,819,0.465,145,402,0.361,236,417,0.566,0.554,163,203,0.803,116,495,611,420,75,57,208,156,1070
Kevin Garnett,PG-SF,68,68,2022,422,850,0.496,2,16,0.125,420,834,0.504,0.498,158,201,0.786,75,455,530,159,78,62,110,154,1004
Tim Duncan,PG-SF,74,74,2158,444,906,0.49,0,5,0,444,901,0.493,0.49,231,316,0.731,158,563,721,220,43,139,159,134,1119
Kevin Durant,PG-SF,81,81,3122,849,1688,0.503,192,491,0.391,657,1197,0.549,0.56,703,805,0.873,58,540,598,445,103,59,285,174,2593
Paul Pierce,PG-SF,75,68,2098,321,712,0.451,112,300,0.373,209,412,0.507,0.529,256,310,0.826,26,322,348,178,86,31,153,190,1010
Pau Gasol,PG-SF,78,78,2681,570,1153,0.494,12,26,0.462,558,1127,0.495,0.5,294,366,0.803,220,699,919,210,25,147,158,147,1446
Kevin Love,SF-PF,77,77,2424,409,977,0.419,158,439,0.36,251,538,0.467,0.499,258,314,0.822,149,613,762,186,58,41,142,159,1234
LaMarcus Aldridge,SF-PF,74,74,2261,536,1045,0.513,0,16,0,536,1029,0.521,0.513,259,302,0.858,176,456,632,110,38,81,99,151,1331
Blake Griffin,SF-PF,67,67,2356,574,1144,0.502,10,25,0.4,564,1119,0.504,0.506,311,427,0.728,126,382,508,354,63,35,152,196,1469
Dirk Nowitzki,SF-PF,80,80,2628,633,1273,0.497,131,329,0.398,502,944,0.532,0.549,338,376,0.899,40,458,498,216,73,45,117,165,1735
Pau Gasol,SF-PF,60,60,1884,425,885,0.48,4,14,0.286,421,871,0.483,0.482,187,254,0.736,124,456,580,201,27,92,141,124,1041
Tim Duncan,SF-PF,76,76,2156,419,838,0.5,0,4,0,419,834,0.502,0.5,184,257,0.716,169,509,678,203,50,146,122,119,1022
Josh Smith,SF-PF,83,35,2300,414,987,0.419,72,228,0.316,342,759,0.451,0.456,127,255,0.498,152,378,530,277,87,116,206,228,1027
Paul Millsap,SF-PF,74,73,2482,483,1047,0.461,76,212,0.358,407,835,0.487,0.498,286,391,0.731,154,473,627,232,129,78,185,210,1328
Zach Randolph,SF-PF,76,75,2607,471,1024,0.46,2,23,0.087,469,1001,0.469,0.461,225,300,0.75,310,544,854,108,61,31,150,180,1169
Amar'e Stoudemire,SF-PF,59,15,1245,273,490,0.557,0,4,0,273,486,0.562,0.557,134,186,0.72,110,219,329,45,29,38,78,161,680
Tim Duncan,PF-C,80,80,2726,618,1131,0.546,1,9,0.111,617,1122,0.55,0.547,362,568,0.637,213,633,846,273,66,190,224,203,1599
Kevin Garnett,PF-C,60,60,1864,391,777,0.503,3,9,0.333,388,768,0.505,0.505,162,189,0.857,66,428,494,175,56,61,107,141,947
Pau Gasol,PF-C,81,81,2999,592,1045,0.567,1,2,0.5,591,1043,0.567,0.567,343,439,0.781,262,518,780,284,52,81,157,172,1528
Amar'e Stoudemire,PF-C,78,78,2870,744,1482,0.502,10,23,0.435,734,1459,0.503,0.505,473,597,0.792,198,438,636,202,71,150,250,274,1971
Christopher Bosh,PF-C,74,74,2454,485,907,0.535,21,74,0.284,464,833,0.557,0.546,241,302,0.798,131,370,501,123,66,101,128,168,1232
Anthony Davis,PF-C,68,68,2455,642,1199,0.535,1,12,0.083,641,1187,0.54,0.536,371,461,0.805,173,523,696,149,100,200,95,141,1656
Jermaine L. O'Neal,PF-C,69,69,2459,498,1141,0.436,0,7,0,498,1134,0.439,0.436,343,447,0.767,153,508,661,167,50,182,203,232,1339
Derrick Favors,PF-C,74,74,2280,482,918,0.525,1,6,0.167,481,912,0.527,0.526,222,332,0.669,196,411,607,112,60,123,121,210,1187
John Henson,PF-C,70,23,1856,344,639,0.538,0,1,0,344,638,0.539,0.538,91,177,0.514,171,326,497,113,41,116,114,185,779
Greg Monroe,PF-C,82,82,2690,504,1015,0.497,0,1,0,504,1014,0.497,0.497,241,367,0.657,256,504,760,171,91,47,166,205,1249
